date,datetime,cases,deaths,daily_infected,daily_infected_p,weekly_infected,weekly_infected_p
1/20/2020,2020-01-20T00:00:00,0,0,0,0%,0,0%
1/21/2020,2020-01-21T00:00:00,1,0,1,0%,1,100%
1/22/2020,2020-01-22T00:00:00,1,0,0,0%,1,100%
1/23/2020,2020-01-23T00:00:00,1,0,0,0%,1,100%
1/24/2020,2020-01-24T00:00:00,2,0,1,100%,2,200%
1/25/2020,2020-01-25T00:00:00,3,0,1,50%,3,300%
1/26/2020,2020-01-26T00:00:00,5,0,2,67%,5,500%
1/27/2020,2020-01-27T00:00:00,5,0,0,0%,5,500%
1/28/2020,2020-01-28T00:00:00,5,0,0,0%,4,400%
1/29/2020,2020-01-29T00:00:00,5,0,0,0%,4,400%
1/30/2020,2020-01-30T00:00:00,6,0,1,20%,5,500%
1/31/2020,2020-01-31T00:00:00,7,0,1,17%,5,250%
2/1/2020,2020-02-01T00:00:00,8,0,1,14%,5,167%
2/2/2020,2020-02-02T00:00:00,11,0,3,38%,6,120%
2/3/2020,2020-02-03T00:00:00,11,0,0,0%,6,120%
2/4/2020,2020-02-04T00:00:00,11,0,0,0%,6,120%
2/5/2020,2020-02-05T00:00:00,12,0,1,9%,7,140%
2/6/2020,2020-02-06T00:00:00,12,0,0,0%,6,100%
2/7/2020,2020-02-07T00:00:00,12,0,0,0%,5,71%
2/8/2020,2020-02-08T00:00:00,12,0,0,0%,4,50%
2/9/2020,2020-02-09T00:00:00,12,0,0,0%,1,9%
2/10/2020,2020-02-10T00:00:00,13,0,1,8%,2,18%
2/11/2020,2020-02-11T00:00:00,13,0,0,0%,2,18%
2/12/2020,2020-02-12T00:00:00,14,0,1,8%,2,17%
2/13/2020,2020-02-13T00:00:00,15,0,1,7%,3,25%
2/14/2020,2020-02-14T00:00:00,15,0,0,0%,3,25%
2/15/2020,2020-02-15T00:00:00,15,0,0,0%,3,25%
2/16/2020,2020-02-16T00:00:00,15,0,0,0%,3,25%
2/17/2020,2020-02-17T00:00:00,25,0,10,67%,12,92%
2/18/2020,2020-02-18T00:00:00,25,0,0,0%,12,92%
2/19/2020,2020-02-19T00:00:00,25,0,0,0%,11,79%
2/20/2020,2020-02-20T00:00:00,27,0,2,8%,12,80%
2/21/2020,2020-02-21T00:00:00,30,0,3,11%,15,100%
2/22/2020,2020-02-22T00:00:00,30,0,0,0%,15,100%
2/23/2020,2020-02-23T00:00:00,30,0,0,0%,15,100%
2/24/2020,2020-02-24T00:00:00,43,0,13,43%,18,72%
2/25/2020,2020-02-25T00:00:00,45,0,2,5%,20,80%
2/26/2020,2020-02-26T00:00:00,60,0,15,33%,35,140%
2/27/2020,2020-02-27T00:00:00,60,0,0,0%,33,122%
2/28/2020,2020-02-28T00:00:00,65,0,5,8%,35,117%
2/29/2020,2020-02-29T00:00:00,70,1,5,8%,40,133%
3/1/2020,2020-03-01T00:00:00,88,3,18,26%,58,193%
3/2/2020,2020-03-02T00:00:00,104,6,16,18%,61,142%
3/3/2020,2020-03-03T00:00:00,125,10,21,20%,80,178%
3/4/2020,2020-03-04T00:00:00,161,12,36,29%,101,168%
3/5/2020,2020-03-05T00:00:00,228,12,67,42%,168,280%
3/6/2020,2020-03-06T00:00:00,311,15,83,36%,246,378%
3/7/2020,2020-03-07T00:00:00,428,19,117,38%,358,511%
3/8/2020,2020-03-08T00:00:00,547,22,119,28%,459,522%
3/9/2020,2020-03-09T00:00:00,748,26,201,37%,644,619%
3/10/2020,2020-03-10T00:00:00,1018,31,270,36%,893,714%
3/11/2020,2020-03-11T00:00:00,1263,37,245,24%,1102,684%
3/12/2020,2020-03-12T00:00:00,1668,43,405,32%,1440,632%
3/13/2020,2020-03-13T00:00:00,2224,50,556,33%,1913,615%
3/14/2020,2020-03-14T00:00:00,2898,60,674,30%,2470,577%
3/15/2020,2020-03-15T00:00:00,3600,68,702,24%,3053,558%
3/16/2020,2020-03-16T00:00:00,4507,91,907,25%,3759,503%
3/17/2020,2020-03-17T00:00:00,5905,116,1398,31%,4887,480%
3/18/2020,2020-03-18T00:00:00,8345,157,2440,41%,7082,561%
3/19/2020,2020-03-19T00:00:00,12384,203,4039,48%,10716,642%
3/20/2020,2020-03-20T00:00:00,17990,264,5606,45%,15766,709%
3/21/2020,2020-03-21T00:00:00,24511,343,6521,36%,21613,746%
3/22/2020,2020-03-22T00:00:00,33043,435,8532,35%,29443,818%
3/23/2020,2020-03-23T00:00:00,43477,550,10434,32%,38970,865%
3/24/2020,2020-03-24T00:00:00,53892,731,10415,24%,47987,813%
3/25/2020,2020-03-25T00:00:00,68489,989,14597,27%,60144,721%
3/26/2020,2020-03-26T00:00:00,85497,1275,17008,25%,73113,590%
3/27/2020,2020-03-27T00:00:00,102729,1648,17232,20%,84739,471%
3/28/2020,2020-03-28T00:00:00,123581,2134,20852,20%,99070,404%
3/29/2020,2020-03-29T00:00:00,142194,2487,18613,15%,109151,330%
3/30/2020,2020-03-30T00:00:00,163589,3068,21395,15%,120112,276%
3/31/2020,2020-03-31T00:00:00,188049,3911,24460,15%,134157,249%
4/1/2020,2020-04-01T00:00:00,214711,4841,26662,14%,146222,213%
4/2/2020,2020-04-02T00:00:00,244034,5952,29323,14%,158537,185%
4/3/2020,2020-04-03T00:00:00,276501,7121,32467,13%,173772,169%
4/4/2020,2020-04-04T00:00:00,311536,8499,35035,13%,187955,152%
4/5/2020,2020-04-05T00:00:00,336769,9654,25233,8%,194575,137%
4/6/2020,2020-04-06T00:00:00,366213,10958,29444,9%,202624,124%
4/7/2020,2020-04-07T00:00:00,397748,12957,31535,9%,209699,112%
4/8/2020,2020-04-08T00:00:00,429316,14803,31568,8%,214605,100%
4/9/2020,2020-04-09T00:00:00,463684,16673,34368,8%,219650,90%
4/10/2020,2020-04-10T00:00:00,496914,18710,33230,7%,220413,80%
4/11/2020,2020-04-11T00:00:00,528397,20574,31483,6%,216861,70%
4/12/2020,2020-04-12T00:00:00,555327,22055,26930,5%,218558,65%
4/13/2020,2020-04-13T00:00:00,580853,23606,25526,5%,214640,59%
4/14/2020,2020-04-14T00:00:00,607285,26080,26432,5%,209537,53%
4/15/2020,2020-04-15T00:00:00,637056,28582,29771,5%,207740,48%
4/16/2020,2020-04-16T00:00:00,668533,30723,31477,5%,204849,44%
4/17/2020,2020-04-17T00:00:00,699853,32910,31320,5%,202939,41%
4/18/2020,2020-04-18T00:00:00,728094,34726,28241,4%,199697,38%
4/19/2020,2020-04-19T00:00:00,753314,36109,25220,3%,197987,36%
4/20/2020,2020-04-20T00:00:00,780449,37795,27135,4%,199596,34%
4/21/2020,2020-04-21T00:00:00,805771,40316,25322,3%,198486,33%
4/22/2020,2020-04-22T00:00:00,834338,42495,28567,4%,197282,31%
4/23/2020,2020-04-23T00:00:00,868019,44516,33681,4%,199486,30%
4/24/2020,2020-04-24T00:00:00,904604,46503,36585,4%,204751,29%
4/25/2020,2020-04-25T00:00:00,938752,48325,34148,4%,210658,29%
4/26/2020,2020-04-26T00:00:00,965214,49464,26462,3%,211900,28%
4/27/2020,2020-04-27T00:00:00,988250,50819,23036,2%,207801,27%
4/28/2020,2020-04-28T00:00:00,1012683,53034,24433,2%,206912,26%
4/29/2020,2020-04-29T00:00:00,1039319,55417,26636,3%,204981,25%
