date,state,fips,cases,deaths,state_pop,cases_per1K,deaths_per1K,is_in_lockdown,ld_status,daily_infected,previous_day_CPC,datetime
3/13/2020,Alabama,1,6,0,4903185,0,0,FALSE,,0,0,2020-03-13T00:00:00
3/14/2020,Alabama,1,12,0,4903185,0,0,FALSE,,6,0,2020-03-14T00:00:00
3/15/2020,Alabama,1,23,0,4903185,0,0,FALSE,,11,0,2020-03-15T00:00:00
3/16/2020,Alabama,1,29,0,4903185,0.01,0,FALSE,,6,0.01,2020-03-16T00:00:00
3/17/2020,Alabama,1,39,0,4903185,0.01,0,FALSE,,10,0.01,2020-03-17T00:00:00
3/18/2020,Alabama,1,51,0,4903185,0.01,0,FALSE,,12,0.01,2020-03-18T00:00:00
3/19/2020,Alabama,1,78,0,4903185,0.02,0,FALSE,,27,0.02,2020-03-19T00:00:00
3/20/2020,Alabama,1,106,0,4903185,0.02,0,FALSE,,28,0.02,2020-03-20T00:00:00
3/21/2020,Alabama,1,131,0,4903185,0.03,0,FALSE,,25,0.03,2020-03-21T00:00:00
3/22/2020,Alabama,1,157,0,4903185,0.03,0,FALSE,,26,0.03,2020-03-22T00:00:00
3/23/2020,Alabama,1,196,0,4903185,0.04,0,FALSE,,39,0.04,2020-03-23T00:00:00
3/24/2020,Alabama,1,242,0,4903185,0.05,0,FALSE,,46,0.05,2020-03-24T00:00:00
3/25/2020,Alabama,1,386,1,4903185,0.08,0,FALSE,,144,0.08,2020-03-25T00:00:00
3/26/2020,Alabama,1,538,3,4903185,0.11,0,FALSE,,152,0.11,2020-03-26T00:00:00
3/27/2020,Alabama,1,639,4,4903185,0.13,0,FALSE,,101,0.13,2020-03-27T00:00:00
3/28/2020,Alabama,1,720,4,4903185,0.15,0,FALSE,,81,0.15,2020-03-28T00:00:00
3/29/2020,Alabama,1,830,5,4903185,0.17,0,FALSE,,110,0.17,2020-03-29T00:00:00
3/30/2020,Alabama,1,947,11,4903185,0.19,0,FALSE,,117,0.19,2020-03-30T00:00:00
3/31/2020,Alabama,1,999,13,4903185,0.2,0,FALSE,,52,0.2,2020-03-31T00:00:00
4/1/2020,Alabama,1,1106,28,4903185,0.15,0.01,FALSE,3 PRIOR,107,0.15,2020-04-01T00:00:00
4/2/2020,Alabama,1,1270,32,4903185,0.26,0.01,FALSE,2 PRIOR,164,0.26,2020-04-02T00:00:00
4/3/2020,Alabama,1,1535,38,4903185,0.31,0.01,FALSE,1 PRIOR,265,0.31,2020-04-03T00:00:00
4/4/2020,Alabama,1,1633,44,4903185,0.33,0.01,TRUE,FIRST,98,0.33,2020-04-04T00:00:00
4/5/2020,Alabama,1,1841,45,4903185,0.38,0.01,TRUE,ONGOING,208,0.38,2020-04-05T00:00:00
4/6/2020,Alabama,1,2006,53,4903185,0.41,0.01,TRUE,ONGOING,165,0.41,2020-04-06T00:00:00
4/7/2020,Alabama,1,2197,64,4903185,0.45,0.01,TRUE,ONGOING,191,0.45,2020-04-07T00:00:00
4/8/2020,Alabama,1,2499,67,4903185,0.51,0.01,TRUE,ONGOING,302,0.51,2020-04-08T00:00:00
4/9/2020,Alabama,1,2838,78,4903185,0.58,0.02,TRUE,ONGOING,339,0.58,2020-04-09T00:00:00
4/10/2020,Alabama,1,3008,80,4903185,0.61,0.02,TRUE,ONGOING,170,0.61,2020-04-10T00:00:00
4/11/2020,Alabama,1,3262,93,4903185,0.67,0.02,TRUE,ONGOING,254,0.67,2020-04-11T00:00:00
4/12/2020,Alabama,1,3583,93,4903185,0.73,0.02,TRUE,ONGOING,321,0.73,2020-04-12T00:00:00
4/13/2020,Alabama,1,3805,104,4903185,0.78,0.02,TRUE,ONGOING,222,0.78,2020-04-13T00:00:00
4/14/2020,Alabama,1,3953,114,4903185,0.81,0.02,TRUE,ONGOING,148,0.81,2020-04-14T00:00:00
4/15/2020,Alabama,1,4241,123,4903185,0.86,0.03,TRUE,ONGOING,288,0.86,2020-04-15T00:00:00
4/16/2020,Alabama,1,4404,137,4903185,0.9,0.03,TRUE,ONGOING,163,0.9,2020-04-16T00:00:00
4/17/2020,Alabama,1,4572,151,4903185,0.93,0.03,TRUE,ONGOING,168,0.93,2020-04-17T00:00:00
